Column1
ID,Items,Potential_Criminal_Usage,Weight(g),Harga(Rp)
1,Citrus_Fruits,Remove_Evidence,1000,44000
2,Bleach,Remove_Evidence,1300,15000
3,UV_Light,Remove_Evidence,2000,275000
4,Alcohol,Remove_Evidence,1001,28000
5,Trash_Bag,Remove_Evidence,700,14000
6,Lye,Remove_Evidence,1100,50000
7,Reciprocating_Saw,Remove_Evidence,2200,544000
8,Shovel,Remove_Evidence,1600,267750
9,Tarp,Remove_Evidence,540,28500
10,Zip_Ties,Kidnap,75,7500
11,Rope,Kidnap,420,16500
12,Chlorofom,Kidnap,7001,699000
13,Ski_Mask,Kidnap,225,55000
14,Gloves,Kidnap,210,54900
15,Melatonin_Gummies,Kidnap,510,485000
16,Certain_Medications,Narcotics,600,250000
17,Sleeping_Pills,Narcotics,49,135000
18,Big_Cooking_Pot,Narcotics,1500,180100
19,Camping_Stove,Narcotics,1450,127800
20,Fuel,Narcotics,1300,12400
21,Ammonium_Nitrate,Craft_Explosive,850,1800000
22,Ammonium_Pechlorate,Craft_Explosive,1100,330000
23,Tannerite,Craft_Explosive,1050,612000
24,Boxes_of_Screws,Craft_Explosive,3700,175000
25,Pressure_Cooker,Craft_Explosive,5000,415000
26,Black_Powder,Craft_Explosive,453,30000
27,Hammer,Murder,729,68000
28,Chainsaw,Murder,6700,1900000
29,Suitcase,Murder,7000,722000
30,Shovel,Murder,1600,267760
31,Razor,Murder,153,2000
32,Knife,Murder,300,173000
33,Axe,Murder,1101,109000
34,Baseball_Bat,Murder,1243,255000
35,Rat_Poison,Murder,50,7900
