Column1
Items_ID,Items,Potential_Criminal_Usage,Item_Categories,Category_ID,Weight(g),Harga(Rp)
73959,Citrus_Fruits,Remove_Evidence,Fruits/Plant,76943,1000,44000
34102,Bleach,Remove_Evidence,Chemical,24598,1300,15000
68036,UV_Light,Remove_Evidence,Multi_Purpose_Tools,28201,2000,275000
36357,Alcohol,Remove_Evidence,Chemical,24598,1001,28000
56489,Trash_Bag,Remove_Evidence,Plastic,92507,700,14000
38011,Lye,Remove_Evidence,Chemical,24598,1100,50000
91763,Reciprocating_Saw,Remove_Evidence,Carpentry_Tools,33673,2200,544000
39911,Shovel,Remove_Evidence,Gardening_Tools,19692,1600,267750
86023,Tarp,Remove_Evidence,Plastic,92507,540,28500
81680,Zip_Ties,Kidnap,Binding_Tools,70035,75,7500
3990,Rope,Kidnap,Binding_Tools,70035,420,16500
8358,Chlorofom,Kidnap,Chemical,24598,7001,699000
52762,Ski_Mask,Kidnap,Sport,82223,225,55000
18500,Gloves,Kidnap,Equipment,58773,210,54900
67979,Melatonin_Gummies,Kidnap,Medication,93158,510,485000
35158,Certain_Medications,Narcotics,Medication,93158,600,250000
15225,Sleeping_Pills,Narcotics,Medication,93158,49,135000
98104,Big_Cooking_Pot,Narcotics,Kitchen_Utensils,85700,1500,180100
21347,Camping_Stove,Narcotics,Outdoor/Camping,73847,1450,127800
20149,Fuel,Narcotics,Chemical,24598,1300,12400
16435,Ammonium_Nitrate,Craft_Explosive,Chemical,24598,850,1800000
77838,Ammonium_Pechlorate,Craft_Explosive,Chemical,24598,1100,330000
85998,Tannerite,Craft_Explosive,Chemical,24598,1050,612000
91368,Boxes_of_Screws,Craft_Explosive,Chemical,24598,3700,175000
58063,Pressure_Cooker,Craft_Explosive,Chemical,24598,5000,415000
39040,Black_Powder,Craft_Explosive,Chemical,24598,453,30000
86055,Hammer,Murder,Carpentry_Tools,33673,729,68000
97646,Chainsaw,Murder,Carpentry_Tools,33673,6700,1900000
74746,Suitcase,Murder,Bags_Carriage,83217,7000,722000
53216,Shovel,Murder,Gardening_Tools,19692,1600,267760
54481,Razor,Murder,Shavings,30551,153,2000
8738,Knife,Murder,Kitchen_Utensils,85700,300,173000
87070,Axe,Murder,Carpentry_Tools,33673,1101,109000
67243,Baseball_Bat,Murder,Sport,82223,1243,255000
74489,Rat_Poison,Murder,Chemical,24598,50,7900
